Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,ABF,StdDev
18,10.0,9.0,10.0,12.0,9.0,9.0,8.0,10.0,9.0,8.0,8.0,10.0,10.0,11.0,9.0,11.0,11.0,8.0,10.0,10.0,10.0,10.0,10.0,12.0,9.0,8.0,8.0,11.0,11.0,9.0,11.0,10.0,10.0,11.0,11.0,9.0,9.0,11.0,11.0,10.0,9.825,1.116
19,10.0,9.0,10.0,12.0,9.0,9.0,8.0,10.0,9.0,8.0,8.0,7.0,10.0,11.0,9.0,11.0,11.0,8.0,10.0,10.0,10.0,10.0,10.0,12.0,9.0,8.0,8.0,11.0,11.0,9.0,9.0,10.0,9.0,11.0,11.0,9.0,8.0,11.0,11.0,10.0,9.65,1.216
20,10.0,9.0,10.0,12.0,9.0,9.0,8.0,10.0,9.0,8.0,8.0,7.0,9.0,11.0,9.0,11.0,11.0,8.0,10.0,10.0,10.0,10.0,10.0,12.0,9.0,8.0,8.0,11.0,11.0,9.0,7.0,10.0,9.0,11.0,11.0,9.0,8.0,11.0,11.0,10.0,9.575,1.282
21,10.0,9.0,10.0,11.0,9.0,9.0,8.0,10.0,9.0,8.0,8.0,7.0,9.0,11.0,9.0,11.0,11.0,8.0,10.0,10.0,10.0,10.0,10.0,12.0,9.0,8.0,8.0,11.0,11.0,9.0,7.0,10.0,9.0,11.0,11.0,9.0,8.0,11.0,11.0,10.0,9.55,1.244
22,10.0,9.0,9.0,11.0,9.0,9.0,8.0,10.0,9.0,8.0,8.0,7.0,9.0,11.0,9.0,11.0,11.0,8.0,10.0,10.0,10.0,10.0,10.0,12.0,9.0,8.0,8.0,11.0,11.0,9.0,7.0,10.0,9.0,11.0,11.0,9.0,8.0,11.0,10.0,10.0,9.5,1.225
23,10.0,9.0,9.0,11.0,9.0,9.0,8.0,10.0,9.0,8.0,8.0,7.0,9.0,11.0,9.0,10.0,11.0,8.0,10.0,10.0,10.0,10.0,10.0,12.0,9.0,8.0,8.0,9.0,11.0,9.0,7.0,10.0,9.0,11.0,11.0,9.0,8.0,11.0,10.0,10.0,9.425,1.181
24,10.0,9.0,9.0,11.0,9.0,9.0,8.0,10.0,9.0,6.0,8.0,7.0,9.0,11.0,9.0,10.0,9.0,8.0,10.0,10.0,10.0,10.0,10.0,12.0,9.0,8.0,8.0,9.0,11.0,9.0,7.0,10.0,9.0,11.0,11.0,9.0,8.0,11.0,10.0,10.0,9.325,1.253
25,10.0,9.0,9.0,11.0,9.0,9.0,8.0,10.0,9.0,6.0,7.0,7.0,9.0,11.0,9.0,10.0,9.0,8.0,10.0,10.0,10.0,10.0,10.0,12.0,9.0,8.0,8.0,9.0,11.0,9.0,7.0,10.0,9.0,11.0,11.0,9.0,8.0,11.0,10.0,10.0,9.3,1.288
26,10.0,9.0,9.0,10.0,9.0,9.0,8.0,10.0,9.0,6.0,7.0,7.0,9.0,11.0,9.0,10.0,9.0,8.0,10.0,10.0,10.0,10.0,10.0,12.0,9.0,8.0,8.0,9.0,11.0,9.0,7.0,10.0,9.0,11.0,11.0,9.0,8.0,11.0,10.0,10.0,9.275,1.265
27,10.0,9.0,9.0,10.0,9.0,9.0,8.0,10.0,9.0,6.0,7.0,5.0,9.0,11.0,9.0,10.0,9.0,7.0,10.0,10.0,10.0,10.0,10.0,12.0,9.0,8.0,8.0,9.0,11.0,9.0,7.0,10.0,9.0,11.0,11.0,9.0,8.0,11.0,10.0,10.0,9.2,1.418
