Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,ABF,StdDev
82,2.0,2.0,4.0,2.0,3.0,4.0,2.0,4.0,2.0,7.0,1.0,1.0,5.0,4.0,7.0,2.0,3.0,1.0,4.0,2.0,5.0,1.0,3.0,2.0,3.0,1.0,5.0,3.0,3.0,6.0,3.0,4.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,2.875,1.6
83,2.0,2.0,4.0,2.0,3.0,4.0,2.0,3.0,2.0,7.0,1.0,1.0,5.0,4.0,7.0,1.0,3.0,1.0,4.0,2.0,5.0,1.0,3.0,2.0,3.0,1.0,5.0,3.0,3.0,6.0,3.0,4.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,2.825,1.611
84,2.0,2.0,3.0,2.0,3.0,4.0,2.0,3.0,2.0,7.0,1.0,1.0,5.0,4.0,7.0,1.0,3.0,1.0,4.0,2.0,5.0,1.0,3.0,2.0,3.0,1.0,5.0,3.0,2.0,6.0,3.0,4.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,2.775,1.604
85,2.0,2.0,3.0,2.0,3.0,4.0,2.0,3.0,2.0,7.0,1.0,1.0,5.0,4.0,7.0,1.0,3.0,1.0,4.0,2.0,5.0,1.0,3.0,2.0,3.0,1.0,5.0,3.0,2.0,6.0,3.0,4.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,2.75,1.624
86,2.0,2.0,3.0,2.0,3.0,4.0,1.0,3.0,2.0,7.0,1.0,1.0,5.0,4.0,7.0,1.0,3.0,1.0,4.0,2.0,5.0,1.0,2.0,2.0,2.0,1.0,5.0,3.0,2.0,6.0,3.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,2.65,1.636
87,2.0,1.0,2.0,2.0,2.0,4.0,0.0,3.0,2.0,7.0,1.0,1.0,5.0,3.0,7.0,1.0,3.0,1.0,4.0,2.0,5.0,1.0,2.0,2.0,2.0,1.0,5.0,3.0,2.0,6.0,3.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,2.525,1.673
88,2.0,1.0,2.0,2.0,2.0,4.0,0.0,3.0,2.0,5.0,1.0,1.0,5.0,3.0,7.0,1.0,3.0,1.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,5.0,3.0,2.0,6.0,3.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,2.4,1.497
89,2.0,1.0,2.0,2.0,2.0,4.0,0.0,3.0,2.0,5.0,1.0,1.0,5.0,3.0,7.0,1.0,3.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,6.0,3.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,2.3,1.47
90,2.0,1.0,2.0,2.0,2.0,4.0,0.0,3.0,2.0,5.0,1.0,1.0,5.0,3.0,7.0,1.0,3.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,5.0,3.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,2.275,1.414
91,2.0,1.0,2.0,2.0,2.0,4.0,0.0,3.0,2.0,5.0,1.0,1.0,5.0,3.0,7.0,1.0,2.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,5.0,3.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,2.25,1.41
92,2.0,1.0,2.0,2.0,2.0,4.0,0.0,2.0,2.0,4.0,1.0,1.0,5.0,3.0,7.0,1.0,2.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,5.0,3.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,2.175,1.358
